Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species,Host Genus,Host Family,Host Order,Year isolated,Longitude,Latitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
1,I,,12,,M10,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,120.071318,28.72590219,"Zhejiang, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
2,I,,12,,M11,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,120.071318,28.72590219,"Zhejiang, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
5,I,,12,,R288,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,1988,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,GQ907153,AY756797,,"Lebeau 2011, https://doi.org/10.1094/PHYTO-02-10-0048",2011,Darrielle Williams,
6,I,,12,,R292,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,AF295255,AY756801,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
8,I,,12,,RUN90,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
9,I,,12,,RUN91,,,Morus alba (Mulberry),Morus alba,Morus,Moraceae,Rosales,,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
10,I,,13,,Bp1,,,Momordica charantia (Bitter Melon),Momordica charantia,Momordica,Cucurbitaceae,Cucurbitales,,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
11,I,,13,,C01,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2015,98.9858802,18.7882778,"Ching Mai, Thailand",Thailand,South-Eastern Asia,Asia,,,,MG136851,,,"Thano 2018, https://doi.org/10.1111/lam.12857",2018,Kyle Chipman,
13,I,,13,,CFBP7058,CMR134,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,2005,11.2205928,4.7399331,"Bafia, Cameroon",Cameroon,Middle Africa,Africa,,,,EF439740,EF439794,,"Thano 2018, https://doi.org/10.1111/lam.12857",2018,Kyle Chipman,
14,I,,13,,CLss8,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2001,120.9686833,24.8066333,"Hsinchu, Northwest, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407316,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
16,I,,13,,Eu1,,,Eucalyptus pellita (Large-fruited Red Mahogany),,Eucalyptus,Myrtaceae,Myrtales,,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
17,I,,13,,FJNPSW-2,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
18,I,,13,,GDNX1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967611,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
19,I,,13,,GDNX3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967613,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
20,I,,13,,GDNX8,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,114.306902,25.120389,"Nanxiong, Guangdong, China",China,Eastern Asia,Asia,,,,KP967617,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
21,I,,13,,GXBSDB-1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
22,I,,13,,GXBSDB-2,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
23,I,,13,,HZAU095,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2014,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY605136,,,"Wang 2017, https://doi.org/10.1007/s12230-017-9576-2",2017,Kyle Chipman,
24,I,,13,,Ia?GzPy?07?1,,,Ipomoea aquatica (Water Spinach),Ipomoea aquatica,Ipomoea,Convolvulaceae,Solanales,2007,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY886493,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
25,I,,13,,JXGZSC-3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
26,I,,13,,Le?Zj?02?1,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2002,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KC441911,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
27,I,,13,,P7,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,108.7128129,23.6571493,"Sanmenjiang, Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
28,I,,13,,P824,,,Vaccinium Cyanococcus (Blueberry),Vaccinium sect. Cyanococcus,Vaccinium,Ericaceae,Ericales,2016,-82.03362976,28.94446471,"Florida, United States",United States (Continental),Northern America,North America,GCF_003576625.1,Contig (72),PacBio and Illumina,,,,"Bocsanczy 2019, http://doi.org/10.1128/MRA.01316-18",2019,Kyle Chipman,
30,I,,13,,Pss148,,,Strelitzia reginae (Bird of Paradise),Strelitzia reginae,Strelitzia,Strelitziaceae,Zingiberales,1989,120.6909167,23.90235,"Nantou, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407274,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
31,I,,13,,Pss167,,,Symphytum sp. (Comfrey),,Symphytum,Boraginaceae,Boraginales,1990,120.6909167,23.90235,"Nantou, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407279,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
32,I,,13,,Pss169,,,Annona squamosa (Sweetsop),Annona squamosa,Annona,Annonaceae,Magnoliales,1990,121.1506,22.7553667,"Taitung, South East, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407280,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
33,I,,13,,PSS216,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1996,120.9302294,23.777978,Taiwan,Taiwan,Eastern Asia,Asia,GCA_001876975.1,Contig(224),Illumina,EU407291,JF702697,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
34,I,,13,,Pw12,,,Ludwigia octovalvis (Mexican Primrose-willow),Ludwigia octovalvis,Ludwigia,Onagraceae,Myrtales,1996,120.449842,23.479958,"Chiayi, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407327,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
35,I,,13,,R99.1,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,1999,-1.252144973,17.35033524,Mali,Mali,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
36,I,,13,,Rk?Yc?04?22,,,Kaempferia galanga (Aromatic Ginger),Kaempferia galanga,Kaempferia,Zingiberaceae,Zingiberales,2004,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KC441899,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
37,I,,13,,Rs121,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2003,-80.2757,26.3327,"South Florida, United States",United States (Continental),Northern America,North America,,,,,,,"Ji 2007, https://doi.org/10.1094/PDIS-91-2-0195",2007,Tiffany Lowe-Power,
38,I,,13,,Rs122,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2003,-80.2757,26.3327,"South Florida, United States",United States (Continental),Northern America,North America,,,,,,,"Ji 2007, https://doi.org/10.1094/PDIS-91-2-0195",2007,Tiffany Lowe-Power,
39,I,,13,,Rs123,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2003,-80.2757,26.3327,"South Florida, United States",United States (Continental),Northern America,North America,,,,,,,"Ji 2007, https://doi.org/10.1094/PDIS-91-2-0195",2007,Tiffany Lowe-Power,
40,I,,13,,RS180,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2015,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,MF418070,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
41,I,,13,,RS418,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2017,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,MF418113,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
43,I,,13,,RUN131,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005,11.5346644,4.1657131,"Obala (ZAE5), Cameroon",Cameroon,Middle Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
45,I,,13,,RUN156,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1996,120.9686833,24.8066333,"Hsinchu, Northwest, Taiwan",Taiwan,Eastern Asia,Asia,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
46,I,,13,,RUN192,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2005,11.520526,3.864768,"Yaounde (ZAE5), Cameroon",Cameroon,Middle Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
47,I,,13,,RUN215,,,Solanum scabrum (Garden Huckleberry),Solanum scabrum,Solanum,Solanaceae,Solanales,2005,11.2205928,4.7399331,"Bafia (ZAE5), Cameroon",Cameroon,Middle Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
48,I,,13,,RUN1546,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.379007396,7.806562857,"Anguededou, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"Guessan 2012, http://dx.doi.org/10.1094/PHYTO-11-11-0300",2012,Jason Avalos,
49,I,,13,,RUN1792,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
50,I,,13,,RUN1795,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
51,I,,13,,RUN1797,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
52,I,,13,,RUN1798,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
53,I,,13,,RUN1799,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
54,I,,13,,RUN1800,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2010,-5.0666088,7.4608666,"Djebonoua-Kondoukro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
55,I,,13,,RUN1868,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
56,I,,13,,RUN1871,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
57,I,,13,,RUN1872,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2011,-5.3267286,5.9342349,"Datta, Houphouékro, Ivory Coast",Côte d'Ivoire,Western Africa,Africa,,,,,,,"N'Guessan 2013, https://doi.org/10.1016/j.mimet.2013.01.012",2013,Maria Charco Munoz,
58,I,,13,,SDPo1,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2004 - 2005,118.1967481,35.98945281,"Shandong, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
59,I,,13,,St?HzHd?05?2,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,2005,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY913607,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
60,I,,13,,Tm11,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,118.0023483,26.10072034,"Fujian, China",China,Eastern Asia,Asia,,,,,,,"Pan 2013, https://doi.org/10.1007/s10658-013-0249-9",2013,Maria Charco Munoz,
61,I,,13,,TobGD16,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY629768,,,"Wang 2017, https://doi.org/10.1007/s12230-017-9576-2",2017,Kyle Chipman,
62,I,,13,,UnnamedStrain,,,Momordica charantia (Bitter Melon),Momordica charantia,Momordica,Cucurbitaceae,Cucurbitales,,127.804802,26.333997,"Okinawa, Ryukyu Islands, Japan",Japan,Eastern Asia,Asia,,,,,,,"Horita 2014, https://doi.org/10.1007/s10327-014-0537-z",2014,Jason Avalos,
63,I,,13,,UnnamedStrain,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,127.804802,26.333997,"Okinawa, Ryukyu Islands, Japan",Japan,Eastern Asia,Asia,,,,,,,"Horita 2014, https://doi.org/10.1007/s10327-014-0537-z",2014,Jason Avalos,
64,I,,13,,YNPEJG-2,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
65,I,,13,,YNPEZY-1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,100.5643,27.3404,Southwest China,China,Eastern Asia,Asia,,,,KT961463,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
67,I,,14,,BY?2,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,1999,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,MF375345,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
69,I,,14,,FJ42,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2004 - 2005,118.0023483,26.10072034,"Fujian, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
70,I,,14,,FJ49,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,2004 - 2005,118.0023483,26.10072034,"Fujian, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
71,I,,14,,FJNPSW-3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2014,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
72,I,,14,,FJNPZH-1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2013,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
73,I,,14,,GD48,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2004 - 2005,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
74,I,,14,,GDC2,,,Casuarina equisetifolia (Ironwood Tree),Casuarina equisetifolia,Casuarina,Casuarinaceae,Fagales,2004 - 2005,114.0588086,24.01278871,"Guangdong, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
75,I,,14,,GDSGNX-1,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2013,114.306902,25.120389,Southeast China,China,Eastern Asia,Asia,,,,,,,"Liu 2017, https://doi.org/10.1007/s10658-016-1023-6",2017,Kyle Chipman,
76,I,,14,,GinFJ1,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2014,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY629741,,,"Wang 2017, https://doi.org/10.1007/s12230-017-9576-2",2017,Kyle Chipman,
77,I,,14,,GX519,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
78,I,,14,,GX524,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
79,I,,14,,GX525,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
80,I,,14,,GX54,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
81,I,,14,,GXHC3,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,2015,107.842035,24.696866,"Hechi, Guangxi, China",China,Eastern Asia,Asia,,,,KP967627,,,"Li 2016, https://doi.org/10.1094/PDIS-04-15-0384-RE",2016,Jason Avalos,
82,I,,14,,GXTm2,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
83,I,,14,,GZ58,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2004 - 2005,106.8243573,27.21755203,"Guizhou, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
84,I,,14,,HD?3,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1999,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,MF375351,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
85,I,,14,,Le?SsFh?00?4,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2000,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KC441907,,,"She 2018, https://doi.org/10.1111/jph.12674",2018,Kyle Chipman,
86,I,,14,,M3H1.1,,,Phaseolus vulgaris (Common Bean),Phaseolus vulgaris,Phaseolus,Fabaceae,Fabales,2016,57.5025125,-20.16385665,Mauritius,Mauritius,Eastern Africa,Africa,,,,KY863395,KY863257,,"Yahiaoui 2017, https://doi.org/10.3389/fpls.2017.02139",2017,Kyle Chipman,
87,I,,14,,MAFF107643,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,2009,139.734224,36.381231,"Tochigi, Japan",Japan,Eastern Asia,Asia,,,,AB620018,AB621645,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
88,I,,14,,MAFF301070,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1966,133.539209,33.568523,"Kochi, Japan",Japan,Eastern Asia,Asia,,,,AB508612,AB732956,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
89,I,,14,,MAFF302549,,,Limonium sp. (Sea-lavender),,Limonium,Plumbaginaceae,Caryophyllales,1987,133.539209,33.568523,"Kochi, Japan",Japan,Eastern Asia,Asia,,,,AB732949,AB732955,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
90,I,,14,,MLI71-15,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2014,-90.74835,30.49986,"Livingston, Louisiana, United States",United States (Continental),Northern America,North America,,,,MK355504,,,"Jimenez-Madrid 2019, https://doi.org/10.1080/07060661.2019.1584588",2019,Kyle Chipman,
91,I,,14,,MLI75-15,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,2014,-90.74835,30.49986,"Livingston, Louisiana, United States",United States (Continental),Northern America,North America,,,,MK355505,,,"Jimenez-Madrid 2019, https://doi.org/10.1080/07060661.2019.1584588",2019,Kyle Chipman,
92,I,,14,,P5-2b,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,1996,120.76201,24.326887,"Taichung, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407322,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
94,I,,14,,Pel,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2004 - 2005,108.7128129,23.6571493,"Guangxi, China",China,Eastern Asia,Asia,,,,,,,"Xue 2011 , https://doi.org/10.1111/j.1574-6941.2010.01026.x",2011,Darrielle Williams,
95,I,,14,,PepFJ1,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2014,101.9018751,35.48670298,China,China,Eastern Asia,Asia,,,,KY629767,,,"Wang 2017, https://doi.org/10.1007/s12230-017-9576-2",2017,Kyle Chipman,
96,I,,14,,Ps6-3-1,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,1990,106.8272159,-6.17555357,Indonesia,Indonesia,South-Eastern Asia,Asia,,,,AY465009,AB621649,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013,Maria Charco Munoz,
97,I,,14,,PsL-18,,,Luffa aegyptiaca (Sponge Gourd),Luffa cylindrica,Luffa,Cucurbitaceae,Cucurbitales,1993,120.5245511,23.6990775,"Yunlin, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407326,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
98,I,,14,,Pss166,,,Syzygium samarangense (Wax Apple),Syzygium samarangense,Syzygium,Myrtaceae,Myrtales,1991,120.48711,22.675228,"Pingtung, South, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407278,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
99,I,,14,,Pss188,,,Momordica charantia (Bitter Melon),Momordica charantia,Momordica,Cucurbitaceae,Cucurbitales,1995,120.76201,24.326887,"Taichung, Central, Taiwan",Taiwan,Eastern Asia,Asia,,,,EU407284,,,"C.-H. Lin 2014, https://doi.org/10.1111/ppa.12209",2014,Jason Avalos,
